word,reading,meaning
以外,いがい,other than; except
以上,いじょう,more than; above
以下,いか,less than; below
以内,いない,within; not exceeding
意外,いがい,unexpected; surprising
意見,いけん,opinion; view
意識,いしき,consciousness; awareness
意志,いし,will; volition
意味,いみ,meaning; significance
印象,いんしょう,impression
影響,えいきょう,influence; effect
栄養,えいよう,nutrition; nourishment
演じる,えんじる,to play a role; to act
応じる,おうじる,to respond; to comply
応募,おうぼ,application; entry
価値,かち,value; worth
確認,かくにん,confirmation; verification
活動,かつどう,activity; action
環境,かんきょう,environment; surroundings
感謝,かんしゃ,gratitude; appreciation
感情,かんじょう,emotion; feeling
観察,かんさつ,observation
記憶,きおく,memory; recollection
機会,きかい,opportunity; chance
規則,きそく,rule; regulation
技術,ぎじゅつ,technology; skill
議論,ぎろん,discussion; debate
共通,きょうつう,common; shared
協力,きょうりょく,cooperation; collaboration
緊張,きんちょう,tension; nervousness
経験,けいけん,experience
経済,けいざい,economy; economics
結果,けっか,result; outcome
結論,けつろん,conclusion
現在,げんざい,present; current
現実,げんじつ,reality; actuality
限界,げんかい,limit; boundary
効果,こうか,effect; result
交流,こうりゅう,exchange; interaction
行動,こうどう,action; behavior
公平,こうへい,fairness; impartiality
国際,こくさい,international
個人,こじん,individual; personal
困難,こんなん,difficulty; hardship
最近,さいきん,recently; lately
才能,さいのう,talent; ability
参加,さんか,participation
支援,しえん,support; assistance
自信,じしん,self-confidence
自然,しぜん,nature; natural
実現,じつげん,realization; achievement
実際,じっさい,actually; in reality
社会,しゃかい,society; community
習慣,しゅうかん,habit; custom
重要,じゅうよう,important; significant
主張,しゅちょう,claim; assertion
状況,じょうきょう,situation; condition
情報,じょうほう,information
成功,せいこう,success
成長,せいちょう,growth; development
責任,せきにん,responsibility
積極的,せっきょくてき,proactive; positive
説明,せつめい,explanation
選択,せんたく,choice; selection
想像,そうぞう,imagination
存在,そんざい,existence; presence
対応,たいおう,response; correspondence
対象,たいしょう,target; object
達成,たっせい,achievement; accomplishment
担当,たんとう,in charge; responsible for
地域,ちいき,area; region
知識,ちしき,knowledge
注意,ちゅうい,attention; caution
調査,ちょうさ,investigation; survey
直接,ちょくせつ,direct; immediate
提案,ていあん,proposal; suggestion
適切,てきせつ,appropriate; suitable
展開,てんかい,development; expansion
伝統,でんとう,tradition
努力,どりょく,effort; hard work
特徴,とくちょう,characteristic; feature
独立,どくりつ,independence
内容,ないよう,content; substance
認識,にんしき,recognition; awareness
能力,のうりょく,ability; capacity
判断,はんだん,judgment; decision
比較,ひかく,comparison
表現,ひょうげん,expression
評価,ひょうか,evaluation; assessment
複雑,ふくざつ,complex; complicated
文化,ぶんか,culture
変化,へんか,change; variation
方法,ほうほう,method; way
目的,もくてき,purpose; goal
問題,もんだい,problem; question
役割,やくわり,role; function
優先,ゆうせん,priority
要求,ようきゅう,demand; request
理解,りかい,understanding; comprehension
利用,りよう,use; utilization
例外,れいがい,exception
連絡,れんらく,contact; communication
論理,ろんり,logic
話題,わだい,topic; subject
安定,あんてい,stability; stable
維持,いじ,maintenance; preservation
一般,いっぱん,general; common
運営,うんえい,management; operation
延長,えんちょう,extension; prolongation
応用,おうよう,application; practical use
改善,かいぜん,improvement
解決,かいけつ,solution; resolution
概念,がいねん,concept; notion
確保,かくほ,securing; ensuring
活用,かつよう,practical use; utilization
完成,かんせい,completion
管理,かんり,management; administration
基準,きじゅん,standard; criterion
基本,きほん,basics; fundamentals
記録,きろく,record; documentation
強調,きょうちょう,emphasis; stress
共有,きょうゆう,sharing
具体的,ぐたいてき,concrete; specific
計画,けいかく,plan; planning
継続,けいぞく,continuation
研究,けんきゅう,research; study
現象,げんしょう,phenomenon
効率,こうりつ,efficiency
構成,こうせい,composition; structure
根拠,こんきょ,basis; grounds
最大,さいだい,maximum; largest
最小,さいしょう,minimum; smallest
作成,さくせい,creation; production
参考,さんこう,reference
支持,しじ,support; backing
実施,じっし,implementation; execution
実験,じっけん,experiment
集中,しゅうちゅう,concentration; focus
準備,じゅんび,preparation
処理,しょり,processing; handling
進化,しんか,evolution; progress
推測,すいそく,guess; estimation
制度,せいど,system; institution
整理,せいり,organization; arrangement
設定,せってい,setting; configuration
専門,せんもん,specialty; expertise
相互,そうご,mutual; reciprocal
相談,そうだん,consultation; discussion
測定,そくてい,measurement
対策,たいさく,measure; countermeasure
体験,たいけん,experience; hands-on
代表,だいひょう,representative
単純,たんじゅん,simple; plain
中心,ちゅうしん,center; core
調整,ちょうせい,adjustment; coordination
通常,つうじょう,usual; normal
定義,ていぎ,definition
適応,てきおう,adaptation
展示,てんじ,exhibition; display
統合,とうごう,integration; unification
特定,とくてい,specific; particular
把握,はあく,grasp; understanding
発展,はってん,development; growth
反応,はんのう,reaction; response
比率,ひりつ,ratio; proportion
必要,ひつよう,necessary; needed
評判,ひょうばん,reputation
分析,ぶんせき,analysis
変更,へんこう,change; modification
保存,ほぞん,preservation; saving
目標,もくひょう,goal; target
要因,よういん,factor; cause
理論,りろん,theory
立場,たちば,position; standpoint
量,りょう,quantity; amount
ゆっくり,,slowly
そのまま,,as it is; unchanged
もちろん,,of course; certainly
なるほど,,I see; indeed
たとえば,,for example
もしかして,,perhaps; maybe
それほど,,that much; so much
かなり,,considerably; fairly
